acc,epoch,loss,step,val_acc,val_loss
,0,,12,0.9125000238418579,0.43359866738319397
,1,,25,0.9624999761581421,0.2784218192100525
,2,,38,0.9624999761581421,0.2214336395263672
0.9200000166893005,3,0.3156351149082184,49,,
,3,,51,0.9624999761581421,0.20482048392295837
,4,,64,0.9624999761581421,0.2003423422574997
,5,,77,0.949999988079071,0.20572757720947266
,6,,90,0.949999988079071,0.18685637414455414
1.0,7,0.10250213742256165,99,,
,7,,103,0.9624999761581421,0.19075150787830353
,8,,116,0.9375,0.18747438490390778
,9,,129,0.9375,0.18366840481758118
