acc,epoch,loss,step,val_acc,val_loss
,0,,4,0.9125000238418579,0.5371626019477844
,1,,9,0.949999988079071,0.39627766609191895
,2,,14,0.9375,0.30364516377449036
,3,,19,0.9624999761581421,0.2509862780570984
,4,,24,0.9624999761581421,0.22940115630626678
,5,,29,0.9750000238418579,0.2091558277606964
,6,,34,0.9624999761581421,0.1956426054239273
,7,,39,0.9624999761581421,0.19107979536056519
,8,,44,0.9750000238418579,0.19668862223625183
0.921875,9,0.19937452673912048,49,,
,9,,49,0.949999988079071,0.18953534960746765
,10,,54,0.949999988079071,0.18549221754074097
,11,,59,0.9624999761581421,0.1885002702474594
,12,,64,0.949999988079071,0.18322451412677765
,13,,69,0.9375,0.18158076703548431
,14,,74,0.949999988079071,0.18767507374286652
,15,,79,0.9375,0.17872972786426544
,16,,84,0.9375,0.17828471958637238
,17,,89,0.925000011920929,0.1804606020450592
,18,,94,0.925000011920929,0.18343624472618103
0.921875,19,0.15315571427345276,99,,
,19,,99,0.925000011920929,0.17899706959724426
