acc,epoch,loss,step,val_acc,val_loss
,0,,4,0.8999999761581421,0.5273403525352478
,1,,9,0.9375,0.3967146575450897
,2,,14,0.9375,0.31089988350868225
,3,,19,0.9375,0.2670031487941742
,4,,24,0.925000011920929,0.22852393984794617
,5,,29,0.9624999761581421,0.2096894085407257
,6,,34,0.9750000238418579,0.2041490077972412
,7,,39,0.9624999761581421,0.1946513056755066
,8,,44,0.9624999761581421,0.19048364460468292
0.90625,9,0.1796373724937439,49,,
,9,,49,0.9750000238418579,0.19000539183616638
,10,,54,0.9624999761581421,0.18871240317821503
,11,,59,0.949999988079071,0.18452593684196472
,12,,64,0.949999988079071,0.1845652014017105
,13,,69,0.9624999761581421,0.19001361727714539
,14,,74,0.949999988079071,0.18165229260921478
,15,,79,0.949999988079071,0.18286609649658203
,16,,84,0.949999988079071,0.19318506121635437
,17,,89,0.9375,0.1820795089006424
,18,,94,0.9375,0.18167027831077576
0.96875,19,0.10394912213087082,99,,
,19,,99,0.949999988079071,0.1866704374551773
